,Unnamed: 0,Neighborhood,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,cars per capita,transportation car_n,transportation public_n,tranportation motorcycle_n,total workers,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value for 20 to 100_n,house value for 100 to 500_n,house value 500 or more_n,rent bewteen 300 and 1000_n,rent bewteen 1000 and 2000_n,Transportation Other means_n
0,0,Airport,19991.440653,31714.063576,10062.495766,19164.553571,18241.256287,7310.887696,14563.742792,2487.5596577,42660.127506,19055.872494,15242.597989,9815.234043,4580.9032981,512.7101071,8421.950124,26600.684659,29270.807384,12381.765386,20299.841249,12075.15044,123.87871559,61869,26972.2145175,23043.5118412,36524.8279645,3734.9468999,36353.8704586,20827.1826408,16895.0628182,36981.703385,3132.2536192
1,1,Allerton-Pelham Gardens,2391.49250821,3691.07791196,1215.42958016,1630.9321962,2407.25957683,507.416192491,2584.03853991,168.353493977,4949.9253829,2342.07461725,1756.48107289,984.534358518,453.289715437,55.239159036,1311.30502972,2391.94883858,4240.1662507,1483.56225337,1975.95341437,1309.35452033,7.805774529,7310,3669.49870019,2696.85759727,3480.36907927,751.561035918,4489.44878028,1871.9901841,2415.39548279,4250.84851529,360.044750232
2,2,Annadale-Huguenot-Prince's Bay-Eltingville,1667.12594082,3118.0387294,1031.83532948,3781.8175008,534.720532252,492.80485842,917.28575554,90.371353377,4318.4773089,1496.52269088,1577.31231995,1002.2136694,479.17744524,47.938400525,558.03159907,3618.0251544,1707.62152081,1293.20992274,2573.24018869,980.97314633,5.222601743,5821,1869.58249281,1756.87815343,3909.3521571,200.652870549,3292.68913808,2298.65799131,1659.15336329,3412.81972245,192.702505022
3,3,Arden Heights,498.5165606,914.3085064,296.17493296,1112.3715682,131.91608723,149.50253754,289.03774485,26.172062215,1253.191326,453.80867394,453.85344487,295.06186817,146.61662446,14.785173888,144.31818465,1079.9426143,499.29616648,366.88546372,770.86217221,291.95544871,1.900932232,1710,553.982801828,539.223556623,1181.27718947,63.461730575,1001.3990687,630.139200788,428.688701878,1043.29412263,64.834769903
4,4,Astoria,8396.69622461,12099.7045888,3920.59918613,8998.01578508,3917.56110869,3752.24328126,7073.54095667,675.638868871,15529.1169533,8846.88304704,5376.91701527,4523.52984664,2078.702145,256.577210122,3676.28131024,8444.23793972,13549.1162755,5375.65267981,6320.84265268,5034.46147946,68.554055309,24530,11783.0050259,10059.6677043,15879.0018214,1335.54924865,11639.6870628,11018.7636888,6209.90927188,14604.4929615,1523.84023462
5,5,Auburndale,1330.14186942,2331.4753544,820.3827765,1718.4985118,562.58526211,1075.4335285,996.46205768,129.020639732,3174.3718877,1302.62811233,1036.04740456,816.32586599,402.86972499,46.783381085,465.70696944,2286.295548,1816.138776,909.18688853,1671.1607569,830.40940116,7.387851749,4496,1723.14728738,1612.78179751,2791.29520466,208.37377301,2218.07886356,2036.54736348,906.162342944,2771.97295262,215.616627644
6,6,Baisley Park,1379.81156473,2174.38067097,679.807764308,896.591038016,1592.25153108,557.490092844,1005.02655535,182.640782426,3037.83833339,1178.16166662,1071.33309579,614.0939924,276.51347265,26.326047548,526.112985495,1872.58185424,1961.08789982,939.270445182,1302.78233434,810.287684159,6.888312876,4250,1737.11186196,1550.9666961,2253.84056766,239.321819705,2557.31267558,1365.36550472,1107.47156779,2621.99268514,185.180934927
7,7,Bath Beach,1626.00343306,2655.25701387,936.739553415,2539.46873491,728.252996094,951.084825822,898.116297079,101.07714634,3622.31397257,1594.68602743,1294.44882816,901.519243295,407.814351845,45.176725593,690.31292844,2171.10994535,2568.48511545,1112.79580371,1459.22886371,1024.78331994,11.1901412,5228,2337.06207136,1885.93945669,2921.58614769,253.088457239,2094.26850208,2823.6430409,1413.00696213,3284.87231105,291.585704999
8,8,Battery Park City-Lower Manhattan,109214.049894,160503.453801,52161.4963294,146195.929806,58042.3656591,38215.3079102,71149.125142,8276.27150079,195635.189226,126059.810777,63334.5769975,68582.4061717,35496.9743434,5050.34135335,50438.0206274,119209.729285,168970.97848,65750.5361015,90627.72579,66141.1059798,1043.49420501,322171,148555.725482,126073.883139,272381.8712,18975.8417606,147090.745738,149423.412501,86792.8853839,166283.899594,26466.1174534
9,9,Bay Ridge,8357.66354899,13364.4553098,4517.8811418,12505.5689186,3974.36505844,3987.61986485,5200.46121091,571.984947456,17411.8077509,8814.19224969,6132.43129933,4708.86522052,2223.65625105,272.985490053,3749.60228207,10170.088015,13597.8524062,5700.81217546,6998.18461014,5214.05604751,63.189096265,26298,12169.6685735,9885.6401146,15907.6925001,1447.41521476,10671.7596798,13809.8251059,7177.36010097,16245.8953043,1583.93364638
